"","biomass"
"1",1047422.84874806
"2",1555571.08988916
"3",13944889.0666744
"4",9984250.87469605
"5",18608840.9379531
"6",17749598.7612952
"7",11877386.8639694
"8",10126035.5167946
"9",2591174.22357156
"10",4640891.6457743
"11",11405600.95961
"12",10151767.2812035
"13",14938567.5858264
"14",6977721.10719386
"15",3130304.73003631
"16",1136191.02259107
"17",2051122.55206548
"18",2676947.12556645
"19",5189579.86245477
"20",2665348.93792197
"21",3304917.60923643
"22",5891863.22708974
"23",2437783.35311918
"24",1251904.58442132
"25",7591949.62219687
"26",3836597.39365013
"27",6396002.50636694
"28",2274728.04426894
"29",4576627.44691962
"30",4242661.18882173
"31",12691666.6751971
"32",44612847.2994731
"33",29465163.707698
"34",38515709.2609142
"35",20272361.826178
"36",47388290.4791856
"37",14473425.5491009
"38",5864292.48804332
"39",14948416.5490081
"40",23325883.1037061
"41",16189459.6202285
"42",37724518.7819096
"43",25524568.5490872
"44",9119213.63158925
"45",10938614.7560248
"46",2145725.78047668
"47",7552780.06411217
"48",2710042.94693951
"49",819749.624735816
"50",2164716.4161787
"51",3064766.26123209
"52",2188378.70709917
"53",1388158.56602806
"54",18431835.7405164
"55",17924272.866324
"56",2057606.17528128
"57",4037436.3222966
"58",10832431.8845881
"59",9149285.25664956
"60",3490109.47095874
"61",2448801.60226875
"62",1748870.02749517
"63",3907747.16547532
"64",5025030.53859143
"65",34279147271.8298
"66",26987095206.1236
"67",8691252206.39076
"68",10141357068.8708
"69",12599516822.462
"70",3227253209.65873
"71",3086198922.64541
"72",3606758380.88956
"73",8164003649.81163
"74",11675627311.7479
"75",14084094473.8689
"76",18017924092.4027
"77",14697456834.4267
"78",7262532834.57016
"79",7570565023.05202
"80",5413750801.50445
"81",7604678576.76092
"82",1616188637.1776
"83",5851427329.55746
"84",4137375140.83646
"85",6747652000.40009
"86",5067729415.20887
"87",5299551410.52089
"88",4828720630.23209
"89",5184182201.02756
"90",3247843516.84568
"91",3309887080.38404
"92",4701322904.77933
"93",2655836366.48042
"94",1357983189.73208
"95",1616218.76585319
"96",3280477.25449626
"97",1620996.67699177
"98",5921787.71761592
"99",4231091.70110683
"100",3884242.75656068
"101",5147131.27875146
"102",4709355.10510166
"103",3531990.32915883
"104",3121823.72730367
"105",769084.739219539
"106",2152839.06697861
"107",4191216.82397813
"108",2262470.93390904
"109",1093312.89441354
"110",4231668.20208352
"111",2178768.5509212
"112",3441324.30293341
"113",2717226.92320277
"114",2034897.67094001
"115",1770187.6828137
"116",951827.623861076
"117",1739717.32690719
"118",760032.91441705
"119",1688137.11403972
"120",2009556.42079272
"121",1447597.97412509
"122",1412425.42518388
"123",1714935.01337652
"124",1194052.35840721
"125",1063474.9678885
"126",755573.915721209
"127",495691.292173197
"128",617961.496243564
"129",1696922.57766897
"130",162907640.617336
"131",83559169.329548
"132",68599634.6865696
"133",43364435.9179441
"134",82764585.3487094
"135",115127050.076291
"136",138084145.594221
"137",49571419.6566709
"138",7491775.2606001
"139",16861235.1272523
"140",45310553.2594214
"141",40883994.1831695
"142",42427749.5031582
"143",346436444.142986
"144",353837163.429629
"145",96212694.1405206
"146",286653636.361993
"147",435099439.795143
"148",416566295.813906
"149",295043428.817682
