"","parameter_type","source_taxon","target_taxon","value","significance","MCMC_std"
"37","interaction","OTU 0","OTU 15",-8.96275547870695e-09,NA,NA
"38","interaction","OTU 0","OTU 16",-8.46565395763951e-09,NA,NA
"39","interaction","OTU 0","OTU 17",5.12337364095014e-08,NA,NA
"40","interaction","OTU 0","OTU 18",-3.64212050113154e-09,NA,NA
"41","interaction","OTU 0","OTU 19",-5.18441388654937e-10,NA,NA
"42","interaction","OTU 0","OTU 20",-5.41350238366749e-11,NA,NA
"43","interaction","OTU 1","OTU 0",0,NA,NA
"44","interaction","OTU 1","OTU 1",2.92016932720475e-14,NA,NA
"45","interaction","OTU 1","OTU 2",0,NA,NA
"46","interaction","OTU 1","OTU 3",-2.20945904528815e-14,NA,NA
"47","interaction","OTU 1","OTU 4",1.66593956489276e-14,NA,NA
"48","interaction","OTU 1","OTU 5",0,NA,NA
"49","interaction","OTU 1","OTU 6",6.56332835699534e-13,NA,NA
"50","interaction","OTU 1","OTU 7",1.63894908454293e-14,NA,NA
"51","interaction","OTU 1","OTU 8",2.69322751837167e-13,NA,NA
"52","interaction","OTU 1","OTU 9",-4.86580884803542e-15,NA,NA
"53","interaction","OTU 1","OTU 10",0,NA,NA
"54","interaction","OTU 1","OTU 11",9.83367032484853e-15,NA,NA
"55","interaction","OTU 1","OTU 12",2.97062256881232e-14,NA,NA
"56","interaction","OTU 1","OTU 13",7.20488466674918e-13,NA,NA
"57","interaction","OTU 1","OTU 14",3.97061402788526e-14,NA,NA
"58","interaction","OTU 1","OTU 15",-4.47715331000303e-15,NA,NA
"59","interaction","OTU 1","OTU 16",0,NA,NA
"60","interaction","OTU 1","OTU 17",3.72754533629678e-14,NA,NA
"61","interaction","OTU 1","OTU 18",-5.48529917928716e-13,NA,NA
"62","interaction","OTU 1","OTU 19",-9.09674824839272e-13,NA,NA
"63","interaction","OTU 1","OTU 20",5.1478137019899e-15,NA,NA
"64","interaction","OTU 2","OTU 0",6.39618763368488e-08,NA,NA
"65","interaction","OTU 2","OTU 1",-6.67883755076247e-10,NA,NA
"66","interaction","OTU 2","OTU 2",2.85001085995808e-08,NA,NA
"67","interaction","OTU 2","OTU 3",4.7427578255613e-08,NA,NA
"68","interaction","OTU 2","OTU 4",-8.13747448609615e-10,NA,NA
"69","interaction","OTU 2","OTU 5",0,NA,NA
"70","interaction","OTU 2","OTU 6",4.07993064861503e-08,NA,NA
"71","interaction","OTU 2","OTU 7",3.06204355902833e-09,NA,NA
"72","interaction","OTU 2","OTU 8",9.17118641621282e-10,NA,NA
"73","interaction","OTU 2","OTU 9",-4.29201141177797e-09,NA,NA
"74","interaction","OTU 2","OTU 10",3.95532590048073e-10,NA,NA
"75","interaction","OTU 2","OTU 11",1.37707723716882e-09,NA,NA
"76","interaction","OTU 2","OTU 12",1.38975381971691e-09,NA,NA
"77","interaction","OTU 2","OTU 13",2.81097232107533e-08,NA,NA
"78","interaction","OTU 2","OTU 14",3.9488197933322e-09,NA,NA
"79","interaction","OTU 2","OTU 15",4.3568123358037e-08,NA,NA
"80","interaction","OTU 2","OTU 16",-1.08140195248346e-09,NA,NA
"81","interaction","OTU 2","OTU 17",6.56714045225579e-09,NA,NA
"82","interaction","OTU 2","OTU 18",1.22858873839894e-09,NA,NA
"83","interaction","OTU 2","OTU 19",1.04314482246442e-09,NA,NA
"84","interaction","OTU 2","OTU 20",2.24515940736601e-09,NA,NA
"85","interaction","OTU 3","OTU 0",0,NA,NA
"86","interaction","OTU 3","OTU 1",4.39515077066842e-16,NA,NA
"87","interaction","OTU 3","OTU 2",0,NA,NA
"88","interaction","OTU 3","OTU 3",-2.62320918821068e-15,NA,NA
"89","interaction","OTU 3","OTU 4",0,NA,NA
"90","interaction","OTU 3","OTU 5",0,NA,NA
"91","interaction","OTU 3","OTU 6",-1.54910107865473e-14,NA,NA
"92","interaction","OTU 3","OTU 7",3.43592869945004e-16,NA,NA
"93","interaction","OTU 3","OTU 8",0,NA,NA
"94","interaction","OTU 3","OTU 9",1.41832412094178e-15,NA,NA
"95","interaction","OTU 3","OTU 10",0,NA,NA
"96","interaction","OTU 3","OTU 11",3.31842108317498e-16,NA,NA
"97","interaction","OTU 3","OTU 12",-2.56680828175136e-15,NA,NA
"98","interaction","OTU 3","OTU 13",-6.20723139807055e-15,NA,NA
"99","interaction","OTU 3","OTU 14",1.00301777606761e-15,NA,NA
"100","interaction","OTU 3","OTU 15",-1.07181085554329e-16,NA,NA
"101","interaction","OTU 3","OTU 16",0,NA,NA
"102","interaction","OTU 3","OTU 17",2.23141294419722e-15,NA,NA
"103","interaction","OTU 3","OTU 18",-1.85034991609384e-15,NA,NA
"104","interaction","OTU 3","OTU 19",6.54834954801463e-15,NA,NA
"105","interaction","OTU 3","OTU 20",3.25670340338634e-15,NA,NA
"106","interaction","OTU 4","OTU 0",0,NA,NA
"107","interaction","OTU 4","OTU 1",5.36313305591074e-12,NA,NA
"108","interaction","OTU 4","OTU 2",0,NA,NA
"109","interaction","OTU 4","OTU 3",2.61042220157332e-11,NA,NA
"110","interaction","OTU 4","OTU 4",4.817965643487e-12,NA,NA
"111","interaction","OTU 4","OTU 5",0,NA,NA
"112","interaction","OTU 4","OTU 6",1.07851035093689e-11,NA,NA
"113","interaction","OTU 4","OTU 7",4.2995788731891e-13,NA,NA
"114","interaction","OTU 4","OTU 8",6.22214249869246e-11,NA,NA
"115","interaction","OTU 4","OTU 9",-8.53337965257236e-13,NA,NA
"116","interaction","OTU 4","OTU 10",3.31844071524335e-12,NA,NA
"117","interaction","OTU 4","OTU 11",-1.03319569115845e-13,NA,NA
"118","interaction","OTU 4","OTU 12",-7.18646516078711e-11,NA,NA
"119","interaction","OTU 4","OTU 13",5.18809500524119e-12,NA,NA
"120","interaction","OTU 4","OTU 14",-7.25140313475423e-12,NA,NA
"121","interaction","OTU 4","OTU 15",8.01749601129748e-13,NA,NA
"122","interaction","OTU 4","OTU 16",0,NA,NA
"123","interaction","OTU 4","OTU 17",3.52571706837731e-12,NA,NA
"124","interaction","OTU 4","OTU 18",-9.31093322210512e-12,NA,NA
"125","interaction","OTU 4","OTU 19",-1.89892678004802e-10,NA,NA
"126","interaction","OTU 4","OTU 20",3.55234926352849e-12,NA,NA
"127","interaction","OTU 5","OTU 0",0,NA,NA
"128","interaction","OTU 5","OTU 1",3.89570549988968e-14,NA,NA
"129","interaction","OTU 5","OTU 2",0,NA,NA
"130","interaction","OTU 5","OTU 3",6.08700036551522e-12,NA,NA
"131","interaction","OTU 5","OTU 4",2.86166793975548e-13,NA,NA
"132","interaction","OTU 5","OTU 5",0,NA,NA
"133","interaction","OTU 5","OTU 6",5.33790278225701e-13,NA,NA
"134","interaction","OTU 5","OTU 7",1.00947523071534e-13,NA,NA
"135","interaction","OTU 5","OTU 8",-3.97087412204297e-14,NA,NA
"136","interaction","OTU 5","OTU 9",1.33997913446412e-13,NA,NA
"137","interaction","OTU 5","OTU 10",6.88922337410993e-13,NA,NA
"138","interaction","OTU 5","OTU 11",1.0428638014111e-12,NA,NA
"139","interaction","OTU 5","OTU 12",1.48122570083885e-12,NA,NA
"140","interaction","OTU 5","OTU 13",7.89557310254791e-13,NA,NA
"141","interaction","OTU 5","OTU 14",3.70101660543747e-15,NA,NA
"142","interaction","OTU 5","OTU 15",1.21533045292279e-12,NA,NA
"143","interaction","OTU 5","OTU 16",0,NA,NA
"144","interaction","OTU 5","OTU 17",8.87696473089722e-13,NA,NA
"145","interaction","OTU 5","OTU 18",-9.99467564392035e-14,NA,NA
"146","interaction","OTU 5","OTU 19",1.40512054084546e-12,NA,NA
"147","interaction","OTU 5","OTU 20",1.31348503135191e-12,NA,NA
"148","interaction","OTU 6","OTU 0",0,NA,NA
"149","interaction","OTU 6","OTU 1",1.76590986697344e-15,NA,NA
"150","interaction","OTU 6","OTU 2",0,NA,NA
"151","interaction","OTU 6","OTU 3",-3.841102556883e-14,NA,NA
"152","interaction","OTU 6","OTU 4",3.45227934676104e-14,NA,NA
"153","interaction","OTU 6","OTU 5",0,NA,NA
"154","interaction","OTU 6","OTU 6",1.01004145130064e-15,NA,NA
"155","interaction","OTU 6","OTU 7",1.77753064496584e-14,NA,NA
"156","interaction","OTU 6","OTU 8",0,NA,NA
"157","interaction","OTU 6","OTU 9",2.79699997500785e-14,NA,NA
"158","interaction","OTU 6","OTU 10",0,NA,NA
"159","interaction","OTU 6","OTU 11",-3.34621304981038e-14,NA,NA
"160","interaction","OTU 6","OTU 12",-1.83190133232487e-13,NA,NA
"161","interaction","OTU 6","OTU 13",3.26466703973257e-14,NA,NA
"162","interaction","OTU 6","OTU 14",-3.97565425133921e-14,NA,NA
"163","interaction","OTU 6","OTU 15",-3.48469282842113e-15,NA,NA
"164","interaction","OTU 6","OTU 16",0,NA,NA
"165","interaction","OTU 6","OTU 17",4.95645484972974e-14,NA,NA
"166","interaction","OTU 6","OTU 18",-1.15440113802741e-14,NA,NA
"167","interaction","OTU 6","OTU 19",-1.01705880334498e-12,NA,NA
"168","interaction","OTU 6","OTU 20",-5.4295670411855e-15,NA,NA
"169","interaction","OTU 7","OTU 0",0,NA,NA
"170","interaction","OTU 7","OTU 1",8.32489144409738e-16,NA,NA
"171","interaction","OTU 7","OTU 2",0,NA,NA
"172","interaction","OTU 7","OTU 3",-4.46310417967644e-15,NA,NA
"173","interaction","OTU 7","OTU 4",0,NA,NA
"174","interaction","OTU 7","OTU 5",0,NA,NA
"175","interaction","OTU 7","OTU 6",1.19950328491419e-14,NA,NA
"176","interaction","OTU 7","OTU 7",1.42673404853603e-15,NA,NA
"177","interaction","OTU 7","OTU 8",0,NA,NA
"178","interaction","OTU 7","OTU 9",5.42311734293394e-15,NA,NA
"179","interaction","OTU 7","OTU 10",0,NA,NA
"180","interaction","OTU 7","OTU 11",1.21105756904124e-15,NA,NA
"181","interaction","OTU 7","OTU 12",4.22514453425309e-15,NA,NA
"182","interaction","OTU 7","OTU 13",-2.52124520275871e-14,NA,NA
"183","interaction","OTU 7","OTU 14",4.50807690493935e-16,NA,NA
"184","interaction","OTU 7","OTU 15",2.27287476687721e-15,NA,NA
"185","interaction","OTU 7","OTU 16",0,NA,NA
"186","interaction","OTU 7","OTU 17",-2.7114416186028e-15,NA,NA
"187","interaction","OTU 7","OTU 18",5.93652057154723e-15,NA,NA
"188","interaction","OTU 7","OTU 19",8.2475679782037e-14,NA,NA
"189","interaction","OTU 7","OTU 20",9.67367054112442e-15,NA,NA
"190","interaction","OTU 8","OTU 0",0,NA,NA
"191","interaction","OTU 8","OTU 1",3.8980276093355e-13,NA,NA
"192","interaction","OTU 8","OTU 2",0,NA,NA
"193","interaction","OTU 8","OTU 3",2.22618665738169e-11,NA,NA
"194","interaction","OTU 8","OTU 4",1.69677457703485e-12,NA,NA
"195","interaction","OTU 8","OTU 5",0,NA,NA
"196","interaction","OTU 8","OTU 6",5.37477837547344e-13,NA,NA
"197","interaction","OTU 8","OTU 7",6.54460556181771e-13,NA,NA
"198","interaction","OTU 8","OTU 8",-3.7868201443493e-12,NA,NA
"199","interaction","OTU 8","OTU 9",2.6700743443365e-12,NA,NA
"200","interaction","OTU 8","OTU 10",5.18897214875364e-13,NA,NA
"201","interaction","OTU 8","OTU 11",3.14799700096686e-13,NA,NA
"202","interaction","OTU 8","OTU 12",-3.4128219073123e-12,NA,NA
"203","interaction","OTU 8","OTU 13",-3.54807213233006e-12,NA,NA
"204","interaction","OTU 8","OTU 14",4.13973560378775e-12,NA,NA
"205","interaction","OTU 8","OTU 15",5.25377470800323e-13,NA,NA
"206","interaction","OTU 8","OTU 16",0,NA,NA
"207","interaction","OTU 8","OTU 17",2.01836443085506e-12,NA,NA
"208","interaction","OTU 8","OTU 18",-6.49193055000631e-13,NA,NA
"209","interaction","OTU 8","OTU 19",7.05742550233632e-11,NA,NA
"210","interaction","OTU 8","OTU 20",8.84503542902825e-13,NA,NA
"211","interaction","OTU 9","OTU 0",0,NA,NA
"212","interaction","OTU 9","OTU 1",1.42889510154861e-15,NA,NA
"213","interaction","OTU 9","OTU 2",0,NA,NA
"214","interaction","OTU 9","OTU 3",2.25995203569779e-15,NA,NA
"215","interaction","OTU 9","OTU 4",0,NA,NA
"216","interaction","OTU 9","OTU 5",0,NA,NA
"217","interaction","OTU 9","OTU 6",1.80392150585586e-14,NA,NA
"218","interaction","OTU 9","OTU 7",-4.98319941964361e-17,NA,NA
"219","interaction","OTU 9","OTU 8",0,NA,NA
"220","interaction","OTU 9","OTU 9",2.18008396181017e-15,NA,NA
"221","interaction","OTU 9","OTU 10",0,NA,NA
"222","interaction","OTU 9","OTU 11",-3.95240485420893e-15,NA,NA
"223","interaction","OTU 9","OTU 12",-1.05075849320386e-14,NA,NA
"224","interaction","OTU 9","OTU 13",-1.86801500454795e-13,NA,NA
"225","interaction","OTU 9","OTU 14",4.22665563177553e-15,NA,NA
"226","interaction","OTU 9","OTU 15",2.59817727357845e-15,NA,NA
"227","interaction","OTU 9","OTU 16",0,NA,NA
"228","interaction","OTU 9","OTU 17",-1.99734248641354e-14,NA,NA
"229","interaction","OTU 9","OTU 18",8.26811508792301e-14,NA,NA
"230","interaction","OTU 9","OTU 19",-1.17075505085133e-13,NA,NA
"231","interaction","OTU 9","OTU 20",-6.26959238661318e-15,NA,NA
"232","interaction","OTU 10","OTU 0",-1.72969814895283e-08,NA,NA
"233","interaction","OTU 10","OTU 1",9.7836963373707e-11,NA,NA
"234","interaction","OTU 10","OTU 2",1.28312038003578e-10,NA,NA
"235","interaction","OTU 10","OTU 3",3.27332553371631e-09,NA,NA
"236","interaction","OTU 10","OTU 4",1.68767288809311e-08,NA,NA
"237","interaction","OTU 10","OTU 5",0,NA,NA
"238","interaction","OTU 10","OTU 6",-1.82204256446866e-08,NA,NA
"239","interaction","OTU 10","OTU 7",1.3207343893285e-09,NA,NA
"240","interaction","OTU 10","OTU 8",6.99705430045302e-09,NA,NA
"241","interaction","OTU 10","OTU 9",-7.86157034192329e-09,NA,NA
"242","interaction","OTU 10","OTU 10",2.09976118115248e-10,NA,NA
"243","interaction","OTU 10","OTU 11",1.48966280914862e-10,NA,NA
"244","interaction","OTU 10","OTU 12",6.79427886975469e-09,NA,NA
"245","interaction","OTU 10","OTU 13",-1.49922070468299e-08,NA,NA
"246","interaction","OTU 10","OTU 14",-6.91846381903957e-09,NA,NA
"247","interaction","OTU 10","OTU 15",-1.61389894148329e-08,NA,NA
"248","interaction","OTU 10","OTU 16",3.87379048112395e-09,NA,NA
"249","interaction","OTU 10","OTU 17",4.44960588358219e-09,NA,NA
"250","interaction","OTU 10","OTU 18",1.34134098707706e-10,NA,NA
"251","interaction","OTU 10","OTU 19",1.53684828480089e-10,NA,NA
"252","interaction","OTU 10","OTU 20",3.26384582386801e-10,NA,NA
"253","interaction","OTU 11","OTU 0",0,NA,NA
"254","interaction","OTU 11","OTU 1",6.78202654726083e-15,NA,NA
"255","interaction","OTU 11","OTU 2",0,NA,NA
"256","interaction","OTU 11","OTU 3",-2.94062883042507e-13,NA,NA
"257","interaction","OTU 11","OTU 4",1.09804750472144e-14,NA,NA
"258","interaction","OTU 11","OTU 5",0,NA,NA
"259","interaction","OTU 11","OTU 6",-6.29619140656977e-15,NA,NA
"260","interaction","OTU 11","OTU 7",8.49320524144993e-15,NA,NA
"261","interaction","OTU 11","OTU 8",1.33125443772853e-14,NA,NA
"262","interaction","OTU 11","OTU 9",2.40249190819947e-14,NA,NA
"263","interaction","OTU 11","OTU 10",0,NA,NA
"264","interaction","OTU 11","OTU 11",-1.7402175507404e-14,NA,NA
"265","interaction","OTU 11","OTU 12",4.48405759127927e-14,NA,NA
"266","interaction","OTU 11","OTU 13",1.77217840157712e-14,NA,NA
"267","interaction","OTU 11","OTU 14",1.01863869216033e-14,NA,NA
"268","interaction","OTU 11","OTU 15",-1.47937000358186e-14,NA,NA
"269","interaction","OTU 11","OTU 16",0,NA,NA
"270","interaction","OTU 11","OTU 17",1.03011826772113e-14,NA,NA
"271","interaction","OTU 11","OTU 18",2.58234918030506e-15,NA,NA
"272","interaction","OTU 11","OTU 19",1.67166308883803e-14,NA,NA
"273","interaction","OTU 11","OTU 20",-1.86456635125622e-14,NA,NA
"274","interaction","OTU 12","OTU 0",0,NA,NA
"275","interaction","OTU 12","OTU 1",4.85768306005275e-15,NA,NA
"276","interaction","OTU 12","OTU 2",0,NA,NA
"277","interaction","OTU 12","OTU 3",-3.08206087295171e-14,NA,NA
"278","interaction","OTU 12","OTU 4",0,NA,NA
"279","interaction","OTU 12","OTU 5",0,NA,NA
"280","interaction","OTU 12","OTU 6",-7.54625953205843e-14,NA,NA
"281","interaction","OTU 12","OTU 7",2.95405651226001e-15,NA,NA
"282","interaction","OTU 12","OTU 8",0,NA,NA
"283","interaction","OTU 12","OTU 9",2.23471389755122e-15,NA,NA
"284","interaction","OTU 12","OTU 10",0,NA,NA
"285","interaction","OTU 12","OTU 11",-1.81217998649625e-14,NA,NA
"286","interaction","OTU 12","OTU 12",-3.48071015211758e-14,NA,NA
"287","interaction","OTU 12","OTU 13",-1.56813963600076e-14,NA,NA
"288","interaction","OTU 12","OTU 14",1.19108349447732e-14,NA,NA
"289","interaction","OTU 12","OTU 15",-3.56754165162601e-14,NA,NA
"290","interaction","OTU 12","OTU 16",0,NA,NA
"291","interaction","OTU 12","OTU 17",-4.83351373858984e-15,NA,NA
"292","interaction","OTU 12","OTU 18",1.93523340852786e-14,NA,NA
"293","interaction","OTU 12","OTU 19",9.84420210213013e-14,NA,NA
"294","interaction","OTU 12","OTU 20",-9.83271337191276e-14,NA,NA
"295","interaction","OTU 13","OTU 0",0,NA,NA
"296","interaction","OTU 13","OTU 1",1.14426139151259e-14,NA,NA
"297","interaction","OTU 13","OTU 2",0,NA,NA
"298","interaction","OTU 13","OTU 3",-9.1509561963682e-14,NA,NA
"299","interaction","OTU 13","OTU 4",1.89534427287531e-14,NA,NA
"300","interaction","OTU 13","OTU 5",0,NA,NA
"301","interaction","OTU 13","OTU 6",8.29663201329689e-14,NA,NA
"302","interaction","OTU 13","OTU 7",9.05067961638221e-15,NA,NA
"303","interaction","OTU 13","OTU 8",1.14407764698776e-13,NA,NA
"304","interaction","OTU 13","OTU 9",1.95191352237257e-14,NA,NA
"305","interaction","OTU 13","OTU 10",0,NA,NA
"306","interaction","OTU 13","OTU 11",1.49856862774743e-14,NA,NA
"307","interaction","OTU 13","OTU 12",2.00245838206542e-13,NA,NA
"308","interaction","OTU 13","OTU 13",-1.78917397682606e-13,NA,NA
"309","interaction","OTU 13","OTU 14",2.93260009405368e-14,NA,NA
"310","interaction","OTU 13","OTU 15",-2.32398855743716e-14,NA,NA
"311","interaction","OTU 13","OTU 16",0,NA,NA
"312","interaction","OTU 13","OTU 17",1.45449871023365e-14,NA,NA
"313","interaction","OTU 13","OTU 18",-1.75361312277471e-14,NA,NA
"314","interaction","OTU 13","OTU 19",-2.06366974215422e-14,NA,NA
"315","interaction","OTU 13","OTU 20",8.41167983579968e-14,NA,NA
"316","interaction","OTU 14","OTU 0",0,NA,NA
"317","interaction","OTU 14","OTU 1",6.4055941812817e-14,NA,NA
"318","interaction","OTU 14","OTU 2",0,NA,NA
"319","interaction","OTU 14","OTU 3",-7.99729930143667e-14,NA,NA
"320","interaction","OTU 14","OTU 4",1.2440052890959e-13,NA,NA
"321","interaction","OTU 14","OTU 5",0,NA,NA
"322","interaction","OTU 14","OTU 6",1.14933174615462e-12,NA,NA
"323","interaction","OTU 14","OTU 7",9.26674585580433e-15,NA,NA
"324","interaction","OTU 14","OTU 8",4.70173583178193e-13,NA,NA
"325","interaction","OTU 14","OTU 9",-4.02513268242618e-14,NA,NA
"326","interaction","OTU 14","OTU 10",0,NA,NA
"327","interaction","OTU 14","OTU 11",1.30459061853721e-13,NA,NA
"328","interaction","OTU 14","OTU 12",1.96474509995141e-13,NA,NA
"329","interaction","OTU 14","OTU 13",2.49083551778817e-12,NA,NA
"330","interaction","OTU 14","OTU 14",2.83843430079421e-14,NA,NA
"331","interaction","OTU 14","OTU 15",-2.79857572970738e-13,NA,NA
"332","interaction","OTU 14","OTU 16",0,NA,NA
"333","interaction","OTU 14","OTU 17",1.04621494063082e-13,NA,NA
"334","interaction","OTU 14","OTU 18",-1.77715582442108e-12,NA,NA
"335","interaction","OTU 14","OTU 19",3.93407008727385e-13,NA,NA
"336","interaction","OTU 14","OTU 20",5.03413111097428e-13,NA,NA
"337","interaction","OTU 15","OTU 0",0,NA,NA
"338","interaction","OTU 15","OTU 1",1.85757573243578e-15,NA,NA
"339","interaction","OTU 15","OTU 2",0,NA,NA
"340","interaction","OTU 15","OTU 3",-8.70531753379029e-14,NA,NA
"341","interaction","OTU 15","OTU 4",1.23400872147242e-14,NA,NA
"342","interaction","OTU 15","OTU 5",0,NA,NA
"343","interaction","OTU 15","OTU 6",-1.28975719616775e-14,NA,NA
"344","interaction","OTU 15","OTU 7",9.25805477549902e-15,NA,NA
"345","interaction","OTU 15","OTU 8",-3.6839855620593e-14,NA,NA
"346","interaction","OTU 15","OTU 9",1.75959070545271e-14,NA,NA
"347","interaction","OTU 15","OTU 10",0,NA,NA
"348","interaction","OTU 15","OTU 11",-2.8576797397e-14,NA,NA
"349","interaction","OTU 15","OTU 12",-1.07571478453591e-13,NA,NA
"350","interaction","OTU 15","OTU 13",-1.00273819922375e-14,NA,NA
"351","interaction","OTU 15","OTU 14",2.4331200198569e-14,NA,NA
"352","interaction","OTU 15","OTU 15",-5.11310700672384e-14,NA,NA
"353","interaction","OTU 15","OTU 16",0,NA,NA
"354","interaction","OTU 15","OTU 17",6.24084597334332e-15,NA,NA
"355","interaction","OTU 15","OTU 18",8.43464779083145e-15,NA,NA
"356","interaction","OTU 15","OTU 19",-7.42364715747638e-14,NA,NA
"357","interaction","OTU 15","OTU 20",-1.17750289229321e-14,NA,NA
"358","interaction","OTU 16","OTU 0",1.10266616153138e-06,NA,NA
"359","interaction","OTU 16","OTU 1",-1.89701941460102e-09,NA,NA
"360","interaction","OTU 16","OTU 2",2.73588677076724e-07,NA,NA
"361","interaction","OTU 16","OTU 3",6.31562253830095e-08,NA,NA
"362","interaction","OTU 16","OTU 4",2.45631897767121e-08,NA,NA
"363","interaction","OTU 16","OTU 5",0,NA,NA
"364","interaction","OTU 16","OTU 6",1.04973369699862e-06,NA,NA
"365","interaction","OTU 16","OTU 7",3.51484349365736e-08,NA,NA
"366","interaction","OTU 16","OTU 8",2.34569365913211e-07,NA,NA
"367","interaction","OTU 16","OTU 9",6.89298923486103e-07,NA,NA
"368","interaction","OTU 16","OTU 10",7.3160105959804e-09,NA,NA
"369","interaction","OTU 16","OTU 11",4.63837058844025e-09,NA,NA
"370","interaction","OTU 16","OTU 12",2.30295081625922e-07,NA,NA
"371","interaction","OTU 16","OTU 13",9.75655595676057e-07,NA,NA
"372","interaction","OTU 16","OTU 14",8.24224701715784e-07,NA,NA
"373","interaction","OTU 16","OTU 15",1.14750821488865e-06,NA,NA
"374","interaction","OTU 16","OTU 16",-1.1527056609091e-07,NA,NA
"375","interaction","OTU 16","OTU 17",2.13908222139394e-08,NA,NA
"376","interaction","OTU 16","OTU 18",-2.2009299716037e-09,NA,NA
"377","interaction","OTU 16","OTU 19",2.90546605059706e-09,NA,NA
"378","interaction","OTU 16","OTU 20",4.57139036555847e-08,NA,NA
"379","interaction","OTU 17","OTU 0",0,NA,NA
"380","interaction","OTU 17","OTU 1",5.14877344435018e-16,NA,NA
"381","interaction","OTU 17","OTU 2",0,NA,NA
"382","interaction","OTU 17","OTU 3",-1.40647472383243e-15,NA,NA
"383","interaction","OTU 17","OTU 4",0,NA,NA
"384","interaction","OTU 17","OTU 5",0,NA,NA
"385","interaction","OTU 17","OTU 6",-4.73687336397835e-15,NA,NA
"386","interaction","OTU 17","OTU 7",3.55905583163958e-16,NA,NA
"387","interaction","OTU 17","OTU 8",0,NA,NA
"388","interaction","OTU 17","OTU 9",4.05626609949896e-15,NA,NA
"389","interaction","OTU 17","OTU 10",0,NA,NA
"390","interaction","OTU 17","OTU 11",-1.49419818665423e-15,NA,NA
"391","interaction","OTU 17","OTU 12",-2.42265662046469e-15,NA,NA
"392","interaction","OTU 17","OTU 13",1.20735848207947e-15,NA,NA
"393","interaction","OTU 17","OTU 14",2.39493590583116e-15,NA,NA
"394","interaction","OTU 17","OTU 15",-5.26620852745451e-16,NA,NA
"395","interaction","OTU 17","OTU 16",0,NA,NA
"396","interaction","OTU 17","OTU 17",1.61812813730271e-15,NA,NA
"397","interaction","OTU 17","OTU 18",7.28959203003688e-16,NA,NA
"398","interaction","OTU 17","OTU 19",1.46583961342161e-14,NA,NA
"399","interaction","OTU 17","OTU 20",1.96257733309408e-15,NA,NA
"400","interaction","OTU 18","OTU 0",0,NA,NA
"401","interaction","OTU 18","OTU 1",2.95487167146946e-16,NA,NA
"402","interaction","OTU 18","OTU 2",0,NA,NA
"403","interaction","OTU 18","OTU 3",5.2202284100135e-15,NA,NA
"404","interaction","OTU 18","OTU 4",0,NA,NA
"405","interaction","OTU 18","OTU 5",0,NA,NA
"406","interaction","OTU 18","OTU 6",1.43191799967374e-14,NA,NA
