"","parameter_type","source_taxon","target_taxon","value","significance","MCMC_std"
"1","growth_rate",NA,"OTU 0",-0.066608123511046,NA,NA
"2","growth_rate",NA,"OTU 1",-0.00749118512869863,NA,NA
"3","growth_rate",NA,"OTU 2",-0.0307777321559186,NA,NA
"4","growth_rate",NA,"OTU 3",-0.0366604411049045,NA,NA
"5","growth_rate",NA,"OTU 4",0.00636924858456002,NA,NA
"6","growth_rate",NA,"OTU 5",0,NA,NA
"7","growth_rate",NA,"OTU 6",-0.0619197305647054,NA,NA
"8","growth_rate",NA,"OTU 7",-0.0079522828711387,NA,NA
"9","growth_rate",NA,"OTU 8",-0.0254225259377688,NA,NA
"10","growth_rate",NA,"OTU 9",0.00389937093683754,NA,NA
"11","growth_rate",NA,"OTU 10",0.00696894026501987,NA,NA
"12","growth_rate",NA,"OTU 11",0.00179933479614205,NA,NA
"13","growth_rate",NA,"OTU 12",-0.0215116068702169,NA,NA
"14","growth_rate",NA,"OTU 13",-0.0607409125795109,NA,NA
"15","growth_rate",NA,"OTU 14",-0.04942236407819,NA,NA
"16","growth_rate",NA,"OTU 15",-0.0595172131831134,NA,NA
"17","growth_rate",NA,"OTU 16",-0.00256139302831481,NA,NA
"18","growth_rate",NA,"OTU 17",-0.0156741133669321,NA,NA
"19","growth_rate",NA,"OTU 18",0.00811837942409869,NA,NA
"20","growth_rate",NA,"OTU 19",-0.000243148698515552,NA,NA
"21","growth_rate",NA,"OTU 20",-0.0192018513800595,NA,NA
"22","interaction","OTU 0","OTU 0",-5.92175513953109e-08,NA,NA
"23","interaction","OTU 0","OTU 1",-4.83150317772279e-10,NA,NA
"24","interaction","OTU 0","OTU 2",7.32072235306983e-09,NA,NA
"25","interaction","OTU 0","OTU 3",-1.06426608325389e-08,NA,NA
"26","interaction","OTU 0","OTU 4",-9.17481076114497e-09,NA,NA
"27","interaction","OTU 0","OTU 5",0,NA,NA
"28","interaction","OTU 0","OTU 6",-4.13412143243491e-09,NA,NA
"29","interaction","OTU 0","OTU 7",4.12940438120033e-09,NA,NA
"30","interaction","OTU 0","OTU 8",3.09047732421837e-08,NA,NA
"31","interaction","OTU 0","OTU 9",4.76864640566118e-09,NA,NA
"32","interaction","OTU 0","OTU 10",2.99618631714161e-10,NA,NA
"33","interaction","OTU 0","OTU 11",-5.57435221584994e-10,NA,NA
"34","interaction","OTU 0","OTU 12",2.17153127873169e-08,NA,NA
"35","interaction","OTU 0","OTU 13",-2.08411420567427e-09,NA,NA
"36","interaction","OTU 0","OTU 14",8.84524769036799e-10,NA,NA
