"","biomass"
"390",947376.283881895
"391",381824.038516772
"392",389509.153811594
"393",541516.337174986
"394",377699.031099889
"395",468734.646214631
"396",636760.323605037
"397",648215.802829319
"398",559528.062005674
"399",866480.247531557
"400",1106709.87870122
"401",860699.280187893
"402",1079249.79179568
"403",912760.659604049
"404",686003.873000522
"405",572126.220166041
"406",991240.708871999
"407",585555.057319101
"408",871120.706616769
"409",1146094.22066005
"410",1480371.47830774
"411",769599.912103022
"412",998512.651122573
"413",1119441.13483134
"414",480755.587316329
"415",417196.605122261
"416",570531.869618959
"417",664577.853489923
"418",559650.940156378
"419",626094.463203584
"420",1073728.52027017
"421",695710.242295425
"422",510250.278133847
"423",524914.583472844
"424",528554.928472576
"425",664658.732348425
"426",1353400.4915092
"427",937921.455752127
"428",640579.709755572
"429",746201.57759268
"430",1221158.02185368
"431",607750.067433908
"432",541946.287837897
"433",867830.771625875
"434",485106.124115092
"435",466546.546447065
"436",1388337.1775822
"437",908260.736914746
"438",1123570.55107112
"439",1162927.62261472
"440",1140569.84520355
"441",491241.77556059
"442",1140928.02644227
"443",1381568.45625483
"444",1226075.83729744
"445",776321.646731718
"446",1538424.33200832
"447",13088431.8622388
"448",23301418.4914774
"449",37994776.0654259
"450",14422294.3822664
"451",38851954.4240771
"452",141211349.716386
"453",49465781.4431881
"454",65408013.9500981
"455",19684036.1435892
"456",16328972.3980549
"457",19479363.5983148
"458",7806448.17225778
"459",1512259.78708658
"460",120356760.04144
"461",72300095.5729732
"462",27230766.2208709
"463",9870815.8803369
"464",66258832.2933104
"465",832247.036863784
"466",115120791.524915
"467",121060127.097738
"468",165872710.530499
"469",79745019.0847201
"470",122349326.79746
"471",42139950.3664037
"472",64016670.646224
"473",70945503.302257
"474",80833344.651612
"475",34582416.8325054
"476",56105762.21116
"477",19505746.0318456
"478",53359624.2976717
"479",21250778.3398811
"480",20750239.8030409
"481",11903370.3403458
"482",24183831.4419952
"483",30985402.930618
"484",6887266.71473172
"485",5478143.80258721
"486",5282760.69983644
"487",5855315.71003808
"488",2317635.5870407
"489",45743724.9964707
"490",3946056.59045093
"491",18454024.0163967
"492",38412768.3341932
"493",11341739.129678
"494",22562156.1129541
"495",3007037.68341782
"496",13881080.5966371
"497",19930538.4089954
"498",26187784.9315043
"499",24615208.8111714
"500",42591506.3442699
"501",24658966.5665815
"502",54598743.1777933
"503",538751.730577008
"504",532024.334342365
"505",429671.746662063
"506",1167826.85772403
"507",1002277.70223068
"508",925316.226480285
"509",698409.392918065
"510",461827.095061783
"511",348349.642903277
"512",430999.093012861
"513",452338.13312951
"514",398433.069749308
"515",447334.350376045
"516",726695.260429711
"517",546385.912598249
"518",504788.462344352
"519",627987.887569504
"520",415900.232015908
"521",748983.056116033
"522",1353798.8683067
"523",1342355.22094263
"524",884829.154788681
"525",744004.833003591
"526",347387.125260323
"527",174489.107253748
"528",484111.995550718
"529",402847.96863605
"530",211239.983049239
"531",406194.146162553
"532",490122.417596766
"533",519567.628928671
"534",305042.156036884
"535",462482.152107868
"536",797288.558460385
"537",1200185.14576129
"538",733627.002348308
"539",762699.047780889
"540",843309.197682101
"541",364522.263268482
"542",519891.983610775
"543",984278.091490602
"544",1121227.1782568
"545",562867.087045723
"546",1151357.11736714
"547",1225733.09692262
"548",2080811.79618033
"549",2983081.94375875
"550",1674872.75980833
"551",1955757.39636208
"552",2471406.95069533
"553",1079577.09787217
"554",724481.498710111
"555",1077558.00199394
"556",981355.507711971
"557",912776.47177983
"558",892673.714736029
"559",705027.13341012
"560",735626.275004006
"561",995781.700585985
"562",1047228.97477811
"563",709745.485541309
"564",913789.689933553
"565",853873.584652453
"566",557198.270738375
"567",367973.448229432
"568",542757.65521524
"569",382345.060923531
"570",1399079.64311958
"571",695321.290390341
"572",573624.618650588
"573",973299.775710335
"574",776767.631503842
"575",754162.504581279
"576",942166.497543521
"577",832815.43485158
"578",1338252.35240868
"579",1089347.03397129
"580",1124638.17317285
"581",1072296.68845964
"582",1187615.54817976
"583",1009178.28405631
"584",1257873.55914657
"585",598687.42201203
"586",563072.382505726
"587",1124250.05264148
"588",535163.21493598
"589",624865.229749747
"590",607667.872786769
"591",1392978.95410725
"592",319905.756192397
"593",476402.184473895
"594",813620.66404667
"595",569340.230501246
"596",795267.992761932
"597",744325.125133065
"598",949374.802436748
"599",704569.488992054
"600",29599478.6484042
"601",36715386.8663464
"602",33845689.5340641
"603",68659162.7115985
"604",68971436.5841943
"605",51448270.7259395
"606",3867856.89905244
"607",12775121.6467389
"608",16746781.9530214
"609",14279061.4058774
"610",8994110.24651133
"611",22866284.2637935
"612",2046341.98296205
"613",4046358.19703507
"614",5654346.3823097
