"","biomass"
"1",849122.13158926
"2",722018.881876213
"3",721084.381516492
"4",387218.432978211
"5",423063.331878138
"6",1372215.53327562
"7",828322.701921818
"8",767474.420203057
"9",839555.372923049
"10",539182.935367588
"11",443396.636130131
"12",404668.319329371
"13",1831106.88297013
"14",459325.380428124
"15",489164.423381302
"16",1112494.75050623
"17",661708.284328481
"18",970904.349649563
"19",999078.040255307
"20",907510.677105719
"21",731491.533554273
"22",909431.751536797
"23",569307.385762754
"24",499838.377229281
"25",545226.785433553
"26",588244.402991996
"27",640733.147907083
"28",892341.865114984
"29",722357.23794694
"30",551967.977196901
"31",1565274.07899689
"32",1876164.58514638
"33",1252420.15950843
"34",1180761.65547321
"35",592364.810846605
"36",890265.43453606
"37",1034951.43031582
"38",761412.863491038
"39",383919.157902572
"40",281612.139526806
"41",716828.230634956
"42",656534.614316497
"43",1051124.73241459
"44",784752.037019481
"45",680385.084834148
"46",1947446.32530444
"47",876002.385530665
"48",1440950.78960714
"49",926188.962308668
"50",391810.560432601
"51",399708.740213987
"52",666609.644141581
"53",939998.212009986
"54",1082357.02766228
"55",953028.531435239
"56",1274192.55286286
"57",1186794.35636952
"58",479374.836886068
"59",499568.688384516
"60",256517.939620958
"61",856799.107591892
"62",368168.088302204
"63",391173.606841395
"64",629256.185831735
"65",767941.286241112
"66",1384447.79802977
"67",727692.995457281
"68",1289175.55794284
"69",1152362.52869756
"70",487076.234654343
"71",1569681.30749757
"72",1990727.40448715
"73",1442471.7595429
"74",1047555.94946556
"75",1044151.48881032
"76",748246.468207375
"77",905915.139075392
"78",1155445.44663324
"79",880993.280218191
"80",516527.895402845
"81",2387402.90557564
"82",846908.835798702
"83",9155613.88480862
"84",31685029.4091385
"85",52444828.0261896
"86",37754784.4390508
"87",4175179.37525889
"88",20391373.7652586
"89",7524630.43532488
"90",1191148.13552614
"91",5483168.90413449
"92",2133979.50965981
"93",1917674.25829739
"94",7779570.65006971
"95",1838684.61913124
"96",3663534.12901411
"97",604686.260228631
"98",1188677.93798077
"99",3203332.70036207
"100",1582319.3063528
"101",2492179.921074
"102",1512984.68993122
"103",3551106.63218723
"104",2777062.39156997
"105",4411792.51755026
"106",4428865.75938998
"107",1955924.57743754
"108",3120718.06690006
"109",8486325.88501159
"110",3273436.55838648
"111",8365821.4587342
"112",9831402.55038098
"113",10683399.0436722
"114",7457792.77698059
"115",22411484.5887226
"116",20487178.8773852
"117",14241915.4094461
"118",4807068.25530717
"119",6414836.78918066
"120",10168057.7510534
"121",2553318.32528371
"122",942657.166579957
"123",822391.035873691
"124",1228249.59473244
"125",369055.21295214
"126",2407140.33599443
"127",2352164.53733143
"128",2554893.29689416
"129",2613377.42697235
"130",1630066.06362794
"131",1607257.6317313
"132",743286.761981178
"133",668639.865168476
"134",514287.463677879
"135",642938.855991332
"136",395508.882001576
"137",871329.858224233
"138",2312931.15167699
"139",935192.428895013
"140",1112323.92145739
"141",1153575.09935341
"142",483099.628738923
"143",443505.53252333
"144",388396.528649389
"145",539548.649726977
"146",614991.340380874
"147",761452.122018881
"148",620821.084332842
"149",428276.686477811
"150",658572.534020615
"151",988126.340950499
"152",824277.190983929
"153",779517.222293381
"154",1162742.34109849
"155",1047653.00524893
"156",929162.149884309
"157",674565.755491984
"158",729874.953737357
"159",582248.74784607
"160",502816.184021048
"161",670551.650551187
"162",980120.179742997
"163",1261530.77592793
"164",1235945.72866046
"165",781058.754848644
"166",1154936.78045485
"167",1027422.75694127
"168",1120668.86000664
"169",1018041.54246027
"170",745233.648260186
"171",775832.491229568
"172",633381.123116786
"173",839182.915069264
"174",629399.218575887
"175",1309040.05600525
"176",1698259.36517123
"177",1645249.54701695
"178",1172560.87606892
"179",1352258.98689808
"180",1918840.02027189
"181",969340.476632147
"182",1001062.56929849
"183",967432.068321373
"184",1304407.45961108
"185",1180040.69133358
"186",901841.8006926
"187",1174338.74182481
"188",1934152.71133616
"189",659464.438769223
"190",401059.236710985
"191",677011.000056311
"192",669877.142986585
"193",450895.930013458
"194",825796.892232858
"195",760132.466791389
"196",1340520.19644362
"197",1324315.0511112
"198",1313540.28372809
"199",1303152.7762312
"200",2230205.65441114
"201",1095936.15799924
"202",1734921.38677031
"203",3951785.24268056
"204",2737745.1711965
"205",1352641.97232171
"206",1258740.87484795
"207",952447.591921458
"208",745196.732638699
"209",482038.361489847
"210",380267.587064212
"211",228124.614591835
"212",607581.745894069
"213",934292.716979449
"214",1547502.69839271
"215",1368342.71627421
"216",2021302.02962884
"217",15897932.2737935
"218",2725774.48849448
"219",35083089.2236483
"220",3222834.68191771
"221",35152019.7619184
"222",38463402.1658958
"223",20558887.4231286
"224",19689206.553771
"225",7713910.08952504
"226",1814969.82710321
"227",14349838.7352037
"228",13686247.0093254
"229",2613488.76131845
"230",47138244.3564224
"231",3469716.98673545
"232",1628350.09571847
"233",1593410.42858743
"234",1978841.31956999
"235",7772994.35878237
"236",453775.433454507
"237",456189.222904878
"238",394468.202634364
"239",1351147.15581826
"240",638261.427016093
"241",497664.87261022
"242",1271653.12082598
"243",679244.203690525
"244",699630.518603009
"245",611636.420795505
"246",2513774.86222952
"247",522969.5791001
"248",1123959.29094927
"249",1510980.69206616
"250",2446641.55784286
"251",1683301.08575521
"252",1194637.2228219
"253",1419374.58795116
"254",915518.932880396
"255",2685522.36259012
"256",1294089.26950595
"257",1602543.93354885
"258",2475283.81136121
"259",2829647.33868168
"260",1262433.24473428
"261",800827.866167827
"262",1505611.2998462
"263",2311432.01345598
"264",1180066.40386467
"265",503520.708108526
"266",1048101.43200302
"267",993563.821307307
"268",958884.826187631
"269",711808.563268146
"270",2024251.65654659
"271",1047470.86688747
"272",1062426.62682843
"273",554719.242206849
"274",947193.886460597
"275",700999.761859869
"276",1180860.37282433
"277",478639.897948015
"278",435156.1530059
"279",296787.624079339
"280",683379.428263887
"281",196272.603513495
"282",322583.07918169
"283",640994.397493449
"284",1097832.95278066
"285",936447.330317451
"286",1787044.21658519
"287",1557202.6309385
"288",584884.092017491
"289",866102.459096779
"290",730687.001492359
"291",2020247.2199179
"292",659443.466965453
"293",307793.922908059
"294",717978.79493327
"295",721898.378876087
"296",518520.609898918
"297",481373.806102945
"298",785076.891737644
"299",822566.632686266
"300",537417.574126051
"301",683111.386762053
"302",9758925.09027068
"303",79843291.2108157
"304",5970775.53379788
"305",1651377.99616842
"306",3382899.67722102
"307",23467070.6257085
"308",35489874.7504221
"309",41926019.1991963
"310",7130916.61226083
"311",2111144.00124646
"312",8761151.85080267
"313",8985368.22316225
"314",4202814.30590913
"315",41659251.6391878
"316",9367614.49089305
"317",50225734.8033048
"318",86977551.5396716
"319",49208747.7001793
"320",76267773.4812811
"321",43556980.6837765
"322",38018054.5872585
"323",9994967.4807798
"324",2546119.00765077
"325",25826121.1414422
"326",21914101.4077937
"327",111716054.373873
"328",549384.319235453
"329",229204.477058578
"330",585348.705327487
"331",139173.865329964
"332",255610.299965563
"333",336371.759885714
"334",352922.946939465
"335",672214.935804273
"336",397969.351524636
"337",406237.764068495
"338",371114.804452841
"339",338469.898270277
"340",561681.956704787
"341",419511.799409054
"342",207229.406207938
"343",472206.000379591
"344",452957.644566524
"345",499700.629858332
"346",475984.349500139
"347",525159.387455607
"348",390621.74257742
"349",344008.903658219
"350",335987.110182659
"351",416187.989918162
"352",213990.56052577
"353",933968.607320107
"354",744864.171215581
"355",823265.578449455
"356",359282.775287175
"357",491295.875984254
"358",441158.075278007
"359",536834.11746501
"360",740044.794741107
"361",798664.759244982
"362",1514300.2922505
"363",41094598.7123439
"364",1390252.82677232
"365",3079301.82337707
"366",1577703.97494747
"367",4955341.28087733
"368",8929087.82148555
"369",9604877.30801789
"370",3142566.70467817
"371",5519980.18511471
"372",7585857.72694921
"373",6478510.36903965
"374",5097996.51580225
"375",6112406.95377277
"376",9807355.37660863
"377",8572618.00075516
"378",5893155.38443006
"379",2691858.52996646
"380",9159710.45129145
"381",5340520.70895444
"382",2417080.42286354
"383",5073374.2070737
"384",1355448.96056361
"385",1133546.32827688
"386",1694585.01144866
"387",1396323.79338506
"388",956461.845217656
"389",834787.678190397
