"","parameter_type","source_taxon","target_taxon","value","significance","MCMC_std"
"90","interaction","OTU 7","OTU 1",-5.88806519169114e-08,NA,NA
"91","interaction","OTU 7","OTU 2",0,NA,NA
"92","interaction","OTU 7","OTU 3",-1.30977939756002e-08,NA,NA
"93","interaction","OTU 7","OTU 4",-2.29403148628793e-09,NA,NA
"94","interaction","OTU 7","OTU 5",3.10371239401467e-08,NA,NA
"95","interaction","OTU 7","OTU 6",1.170472541854e-08,NA,NA
"96","interaction","OTU 7","OTU 7",-2.07243116659339e-09,NA,NA
"97","interaction","OTU 7","OTU 8",1.86878739170784e-07,NA,NA
"98","interaction","OTU 7","OTU 9",-1.44746670000261e-08,NA,NA
"99","interaction","OTU 7","OTU 10",-5.55509915766865e-09,NA,NA
"100","interaction","OTU 8","OTU 0",-9.29516893932281e-10,NA,NA
"101","interaction","OTU 8","OTU 1",1.75674381667905e-08,NA,NA
"102","interaction","OTU 8","OTU 2",0,NA,NA
"103","interaction","OTU 8","OTU 3",9.80336157722225e-10,NA,NA
"104","interaction","OTU 8","OTU 4",-8.75870422668789e-09,NA,NA
"105","interaction","OTU 8","OTU 5",-4.95403566067164e-09,NA,NA
"106","interaction","OTU 8","OTU 6",1.60942591121733e-09,NA,NA
"107","interaction","OTU 8","OTU 7",-3.229016600159e-09,NA,NA
"108","interaction","OTU 8","OTU 8",-8.43006596207993e-10,NA,NA
"109","interaction","OTU 8","OTU 9",-1.97651546243561e-08,NA,NA
"110","interaction","OTU 8","OTU 10",-3.21553801727737e-08,NA,NA
"111","interaction","OTU 9","OTU 0",7.01166410313695e-08,NA,NA
"112","interaction","OTU 9","OTU 1",-4.41806345609847e-09,NA,NA
"113","interaction","OTU 9","OTU 2",0,NA,NA
"114","interaction","OTU 9","OTU 3",2.02620889269122e-07,NA,NA
"115","interaction","OTU 9","OTU 4",7.66664153974292e-08,NA,NA
"116","interaction","OTU 9","OTU 5",8.37436670032354e-08,NA,NA
"117","interaction","OTU 9","OTU 6",-5.41914734958169e-08,NA,NA
"118","interaction","OTU 9","OTU 7",3.9304169627441e-08,NA,NA
"119","interaction","OTU 9","OTU 8",-4.81519398377193e-08,NA,NA
"120","interaction","OTU 9","OTU 9",2.91987525755707e-07,NA,NA
"121","interaction","OTU 9","OTU 10",6.41310136222491e-07,NA,NA
"122","interaction","OTU 10","OTU 0",4.13602286417977e-09,NA,NA
"123","interaction","OTU 10","OTU 1",-1.51908352010373e-09,NA,NA
"124","interaction","OTU 10","OTU 2",0,NA,NA
"125","interaction","OTU 10","OTU 3",8.85209232624974e-09,NA,NA
"126","interaction","OTU 10","OTU 4",-8.12667405261912e-09,NA,NA
"127","interaction","OTU 10","OTU 5",4.79840981831126e-09,NA,NA
"128","interaction","OTU 10","OTU 6",-2.84380774736047e-08,NA,NA
"129","interaction","OTU 10","OTU 7",2.55193510834596e-09,NA,NA
"130","interaction","OTU 10","OTU 8",-6.79222185842867e-09,NA,NA
"131","interaction","OTU 10","OTU 9",7.96987807507377e-09,NA,NA
"132","interaction","OTU 10","OTU 10",1.49791539191492e-08,NA,NA
