"","parameter_type","source_taxon","target_taxon","value","significance","MCMC_std"
"1","growth_rate",NA,"OTU 0",-0.0794856404701379,NA,NA
"2","growth_rate",NA,"OTU 1",-0.0724043999857717,NA,NA
"3","growth_rate",NA,"OTU 2",-0.0641119906831042,NA,NA
"4","growth_rate",NA,"OTU 3",-0.120368865117207,NA,NA
"5","growth_rate",NA,"OTU 4",0.0104977551834751,NA,NA
"6","growth_rate",NA,"OTU 5",-0.0998532042724311,NA,NA
"7","growth_rate",NA,"OTU 6",-0.102127099516726,NA,NA
"8","growth_rate",NA,"OTU 7",0.00927468265248852,NA,NA
"9","growth_rate",NA,"OTU 8",-0.0764759436440369,NA,NA
"10","growth_rate",NA,"OTU 9",-0.0885354099027872,NA,NA
"11","growth_rate",NA,"OTU 10",-0.0303683989934783,NA,NA
"12","growth_rate",NA,"OTU 11",-0.11890123415086,NA,NA
"13","growth_rate",NA,"OTU 12",-0.172752141987075,NA,NA
"14","growth_rate",NA,"OTU 13",0,NA,NA
"15","growth_rate",NA,"OTU 14",-0.105900960712485,NA,NA
"16","growth_rate",NA,"OTU 15",-0.111224574920943,NA,NA
"17","interaction","OTU 0","OTU 0",9.53019684047873e-07,NA,NA
"18","interaction","OTU 0","OTU 1",1.40816185090677e-06,NA,NA
"19","interaction","OTU 0","OTU 2",7.11484214438088e-07,NA,NA
"20","interaction","OTU 0","OTU 3",1.61585032411608e-06,NA,NA
"21","interaction","OTU 0","OTU 4",5.7956518781134e-09,NA,NA
"22","interaction","OTU 0","OTU 5",9.97987301436743e-07,NA,NA
"23","interaction","OTU 0","OTU 6",1.78015515747317e-06,NA,NA
"24","interaction","OTU 0","OTU 7",3.73322247311518e-07,NA,NA
"25","interaction","OTU 0","OTU 8",1.76150349275091e-06,NA,NA
"26","interaction","OTU 0","OTU 9",1.18748311897306e-06,NA,NA
"27","interaction","OTU 0","OTU 10",4.4938228463379e-07,NA,NA
"28","interaction","OTU 0","OTU 11",1.64290687492172e-06,NA,NA
"29","interaction","OTU 0","OTU 12",1.66370959430736e-06,NA,NA
"30","interaction","OTU 0","OTU 13",0,NA,NA
"31","interaction","OTU 0","OTU 14",1.70189248086312e-06,NA,NA
"32","interaction","OTU 0","OTU 15",2.01161357773133e-06,NA,NA
"33","interaction","OTU 1","OTU 0",3.57660920215602e-08,NA,NA
"34","interaction","OTU 1","OTU 1",1.61597499904894e-09,NA,NA
"35","interaction","OTU 1","OTU 2",2.39250040905828e-08,NA,NA
"36","interaction","OTU 1","OTU 3",-2.84416227598619e-09,NA,NA
"37","interaction","OTU 1","OTU 4",2.81191418367551e-09,NA,NA
"38","interaction","OTU 1","OTU 5",3.40658220615185e-08,NA,NA
"39","interaction","OTU 1","OTU 6",7.0198673934012e-08,NA,NA
"40","interaction","OTU 1","OTU 7",-1.36893734661843e-08,NA,NA
"41","interaction","OTU 1","OTU 8",-1.74108219444407e-08,NA,NA
"42","interaction","OTU 1","OTU 9",6.45900460097752e-08,NA,NA
"43","interaction","OTU 1","OTU 10",6.00549512322241e-10,NA,NA
"44","interaction","OTU 1","OTU 11",6.89610700775745e-08,NA,NA
"45","interaction","OTU 1","OTU 12",-1.49054315975029e-08,NA,NA
"46","interaction","OTU 1","OTU 13",0,NA,NA
"47","interaction","OTU 1","OTU 14",-2.10422954889276e-08,NA,NA
"48","interaction","OTU 1","OTU 15",-5.12574695203437e-10,NA,NA
"49","interaction","OTU 2","OTU 0",4.45698376316059e-07,NA,NA
"50","interaction","OTU 2","OTU 1",4.3003338331949e-07,NA,NA
"51","interaction","OTU 2","OTU 2",3.85955373166457e-07,NA,NA
"52","interaction","OTU 2","OTU 3",6.26277496217675e-07,NA,NA
"53","interaction","OTU 2","OTU 4",4.13556337424971e-10,NA,NA
"54","interaction","OTU 2","OTU 5",5.28518455347729e-07,NA,NA
"55","interaction","OTU 2","OTU 6",5.60938573911836e-07,NA,NA
"56","interaction","OTU 2","OTU 7",1.86839480039644e-07,NA,NA
"57","interaction","OTU 2","OTU 8",6.18052428104099e-07,NA,NA
"58","interaction","OTU 2","OTU 9",4.30728232394922e-07,NA,NA
"59","interaction","OTU 2","OTU 10",2.40410511993084e-07,NA,NA
"60","interaction","OTU 2","OTU 11",7.52964537847632e-07,NA,NA
"61","interaction","OTU 2","OTU 12",1.08839084152014e-06,NA,NA
"62","interaction","OTU 2","OTU 13",0,NA,NA
"63","interaction","OTU 2","OTU 14",7.2450260153737e-07,NA,NA
"64","interaction","OTU 2","OTU 15",4.37447331345583e-07,NA,NA
"65","interaction","OTU 3","OTU 0",3.91613487776496e-08,NA,NA
"66","interaction","OTU 3","OTU 1",3.17863925472286e-07,NA,NA
"67","interaction","OTU 3","OTU 2",5.70754214308927e-09,NA,NA
"68","interaction","OTU 3","OTU 3",2.50666013749475e-07,NA,NA
"69","interaction","OTU 3","OTU 4",3.03667238252769e-09,NA,NA
"70","interaction","OTU 3","OTU 5",6.81095404035905e-08,NA,NA
"71","interaction","OTU 3","OTU 6",3.05110384600371e-07,NA,NA
"72","interaction","OTU 3","OTU 7",3.38384123258057e-08,NA,NA
"73","interaction","OTU 3","OTU 8",2.5321840041708e-08,NA,NA
"74","interaction","OTU 3","OTU 9",1.71845577617415e-07,NA,NA
"75","interaction","OTU 3","OTU 10",5.46820320324999e-08,NA,NA
"76","interaction","OTU 3","OTU 11",3.51132211895113e-07,NA,NA
"77","interaction","OTU 3","OTU 12",3.91410889496232e-07,NA,NA
"78","interaction","OTU 3","OTU 13",0,NA,NA
"79","interaction","OTU 3","OTU 14",-1.11360201476296e-08,NA,NA
"80","interaction","OTU 3","OTU 15",3.21120428254081e-07,NA,NA
"81","interaction","OTU 4","OTU 0",-8.42249289642178e-09,NA,NA
"82","interaction","OTU 4","OTU 1",-1.54756309226237e-09,NA,NA
"83","interaction","OTU 4","OTU 2",-1.20059174046113e-08,NA,NA
"84","interaction","OTU 4","OTU 3",-1.32968058374097e-08,NA,NA
"85","interaction","OTU 4","OTU 4",-8.48615117667896e-12,NA,NA
"86","interaction","OTU 4","OTU 5",-2.70070637794485e-10,NA,NA
"87","interaction","OTU 4","OTU 6",-5.48818367419216e-09,NA,NA
"88","interaction","OTU 4","OTU 7",-8.96336744439629e-10,NA,NA
"89","interaction","OTU 4","OTU 8",-2.75144321845796e-08,NA,NA
"90","interaction","OTU 4","OTU 9",-5.43105107238531e-09,NA,NA
"91","interaction","OTU 4","OTU 10",-5.33658377939438e-09,NA,NA
"92","interaction","OTU 4","OTU 11",-6.48956926843563e-09,NA,NA
"93","interaction","OTU 4","OTU 12",-2.13827028055002e-08,NA,NA
"94","interaction","OTU 4","OTU 13",0,NA,NA
"95","interaction","OTU 4","OTU 14",-9.23902571211332e-09,NA,NA
"96","interaction","OTU 4","OTU 15",-1.09496596566489e-09,NA,NA
"97","interaction","OTU 5","OTU 0",2.22221208169037e-08,NA,NA
"98","interaction","OTU 5","OTU 1",-5.48009113719183e-09,NA,NA
"99","interaction","OTU 5","OTU 2",7.55424264259395e-08,NA,NA
"100","interaction","OTU 5","OTU 3",4.7184742123527e-08,NA,NA
"101","interaction","OTU 5","OTU 4",-6.04301592589376e-08,NA,NA
"102","interaction","OTU 5","OTU 5",1.11045591295543e-07,NA,NA
"103","interaction","OTU 5","OTU 6",1.9896179254285e-07,NA,NA
"104","interaction","OTU 5","OTU 7",-7.16669487634025e-09,NA,NA
"105","interaction","OTU 5","OTU 8",-4.28422845707127e-08,NA,NA
"106","interaction","OTU 5","OTU 9",3.0703680964844e-07,NA,NA
"107","interaction","OTU 5","OTU 10",7.39383448147248e-09,NA,NA
"108","interaction","OTU 5","OTU 11",8.96285505921645e-08,NA,NA
"109","interaction","OTU 5","OTU 12",2.90975035245252e-08,NA,NA
"110","interaction","OTU 5","OTU 13",0,NA,NA
"111","interaction","OTU 5","OTU 14",2.67167015462802e-08,NA,NA
"112","interaction","OTU 5","OTU 15",1.64010745196171e-07,NA,NA
"113","interaction","OTU 6","OTU 0",-5.16264725150494e-08,NA,NA
"114","interaction","OTU 6","OTU 1",-1.96151449498725e-07,NA,NA
"115","interaction","OTU 6","OTU 2",2.86953833287837e-07,NA,NA
"116","interaction","OTU 6","OTU 3",-6.74674729330231e-08,NA,NA
"117","interaction","OTU 6","OTU 4",6.72233294549671e-08,NA,NA
"118","interaction","OTU 6","OTU 5",5.8552653545131e-08,NA,NA
"119","interaction","OTU 6","OTU 6",6.47277063719819e-08,NA,NA
"120","interaction","OTU 6","OTU 7",-4.38122821803701e-07,NA,NA
"121","interaction","OTU 6","OTU 8",-2.02688629806978e-07,NA,NA
"122","interaction","OTU 6","OTU 9",-3.54751483931103e-08,NA,NA
"123","interaction","OTU 6","OTU 10",-3.53932207919419e-08,NA,NA
"124","interaction","OTU 6","OTU 11",-3.83462994149052e-09,NA,NA
"125","interaction","OTU 6","OTU 12",1.24130719406497e-08,NA,NA
"126","interaction","OTU 6","OTU 13",0,NA,NA
"127","interaction","OTU 6","OTU 14",-1.65061776927339e-07,NA,NA
"128","interaction","OTU 6","OTU 15",1.45302894400067e-08,NA,NA
"129","interaction","OTU 7","OTU 0",-2.94017436659167e-08,NA,NA
"130","interaction","OTU 7","OTU 1",-3.6669306476278e-08,NA,NA
"131","interaction","OTU 7","OTU 2",-1.42727326163641e-08,NA,NA
"132","interaction","OTU 7","OTU 3",-1.70507928657017e-09,NA,NA
"133","interaction","OTU 7","OTU 4",-5.71172046761602e-10,NA,NA
"134","interaction","OTU 7","OTU 5",-4.76324318557938e-09,NA,NA
"135","interaction","OTU 7","OTU 6",-4.77803119057877e-08,NA,NA
"136","interaction","OTU 7","OTU 7",-1.02915505700347e-08,NA,NA
"137","interaction","OTU 7","OTU 8",-8.3081054445988e-08,NA,NA
"138","interaction","OTU 7","OTU 9",-3.93767218895626e-08,NA,NA
"139","interaction","OTU 7","OTU 10",-8.76403015007081e-09,NA,NA
"140","interaction","OTU 7","OTU 11",-7.92950993628271e-08,NA,NA
"141","interaction","OTU 7","OTU 12",-1.37786648590104e-07,NA,NA
"142","interaction","OTU 7","OTU 13",0,NA,NA
"143","interaction","OTU 7","OTU 14",-5.36938768181699e-10,NA,NA
